abide;abided,abode;abided
alight;alighted,alit;alighted,alit
arise;arose;arisen
awake;awakened,awoke;awakened,awoken
be;was,were;been
bear;bore;born,borne
beat;beat;beaten,beat
become;became;become
beget;begat,begot;begotten
begin;began;begun
behold;beheld;beheld
bend;bent;bent
beseech;besought,beseeched;besought,beseeched
bet;bet,betted;bet,betted
bid;bid,bade;bidden
bid;bid;bid
bind;bound;bound
bite;bit;bitten
bleed;bled;bled
blow;blew;blown
break;broke;broken
breed;bred;bred
bring;brought;brought
broadcast;broadcast,broadcasted;broadcast,broadcasted
build;built;built
burn;burned,burnt;burned,burnt
burst;burst;burst
bust;busted,bust;busted,bust
buy;bought;bought
cast;cast;cast
catch;caught;caught
choose;chose;chosen
clap;clapped,clapt;clapped,clapt
cling;clung;clung
come;came;come
cost;cost;cost
creep;crept;crept
crossbreed;crossbred;crossbred
cut;cut;cut
dare;dared,durst;dared,durst
daydream;daydreamed,daydreamt;daydreamed,daydreamt
deal;dealt;dealt
dig;dug;dug
dive;dove,dived;dived
dive;dived,dove;dived
do;did;done
draw;drew;drawn
dream;dreamed,dreamt;dreamed,dreamt
drink;drank;drunk
drive;drove;driven
dwell;dwelt,dwelled;dwelt,dwelled
eat;ate;eaten
fall;fell;fallen
feed;fed;fed
feel;felt;felt
fight;fought;fought
find;found;found
fit;fitted,fit;fitted,fit
fit;fit,fitted;fit,fitted
flee;fled;fled
fling;flung;flung
fly;flew;flown
forbear;forbore;forborne
forbid;forbade;forbidden
forecast;forecast;forecast
foresee;foresaw;foreseen
foretell;foretold;foretold
forget;forgot;forgotten,forgot
forgive;forgave;forgiven
forsake;forsook;forsaken
fraught;fraught;fraught
freeze;froze;frozen
frostbite;frostbit;frostbitten
gainsay;gainsaid;gainsaid
get;got;gotten,got
gild;gilded,gilt;gilded,gilt
give;gave;given
go;went;gone
grind;ground;ground
grow;grew;grown
hamstring;hamstrung;hamstrung
hang;hung;hung
hang;hanged,hung;hanged,hung
have;had;had
hear;heard;heard
hide;hid;hidden
hit;hit;hit
hold;held;held
hurt;hurt;hurt
input;input,inputted;input,inputted
keep;kept;kept
kneel;knelt,kneeled;knelt,kneeled
knit;knitted,knit;knitted,knit
know;knew;known
landslide;landslid;landslid
lay;laid;laid
lead;led;led
lean;leaned,leant;leaned,leant
leap;leaped,leapt;leaped,leapt
learn;learned,learnt;learned,learnt
leave;left;left
lend;lent;lent
let;let;let
lie;lay;lain
lie;lied;lied
light;lit,lighted;lit,lighted
lose;lost;lost
make;made;made
mean;meant;meant
meet;met;met
mislead;misled;misled
mistake;mistook;mistaken
misunderstand;misunderstood;misunderstood
mow;mowed;mowed,mown
outdo;outdid;outdone
output;output,outputted;output,outputted
outrun;outran;outrun
overcast;overcast;overcast
overcome;overcame;overcome
overdo;overdid;overdone
overeat;overate;overeaten
overhear;overheard;overheard
override;overrode;overridden
overrun;overran;overrun
oversleep;overslept;overslept
overtake;overtook;overtaken
overthink;overthought;overthought
partake;partook;partaken
pay;paid;paid
plead;pleaded,pled;pleaded,pled
proofread;proofread;proofread
prove;proved;proven,proved
put;put;put
quit;quit,quitted;quit,quitted
read;read;read
rebuild;rebuilt;rebuilt
redo;redid;redone
relay;relaid;relaid
relay;relayed;relayed
remake;remade;remade
repay;repaid;repaid
reread;reread;reread
resend;resent;resent
reset;reset;reset
retake;retook;retaken
rethink;rethought;rethought
rewind;rewound;rewound
rewrite;rewrote;rewritten
rid;rid;rid
ride;rode;ridden
ring;rang;rung
rise;rose;risen
run;ran;run
saw;sawed;sawed,sawn
say;said;said
see;saw;seen
seek;sought;sought
sell;sold;sold
send;sent;sent
set;set;set
sew;sewed;sewn,sewed
shake;shook;shaken
shave;shaved;shaved,shaven
shear;sheared;sheared,shorn
shed;shed;shed
shine;shined,shone;shined,shone
shit;shit,shat,shitted;shit,shat,shitted
shoe;shoed,shod;shoed,shod
shoot;shot;shot
show;showed;shown,showed
shrink;shrank,shrunk;shrunk
shut;shut;shut
sing;sang;sung
sink;sank,sunk;sunk
sit;sat;sat
slay;slew,slayed;slain,slayed
slay;slayed;slayed
sleep;slept;slept
slide;slid;slid
sling;slung;slung
slit;slit;slit
smell;smelled,smelt;smelled,smelt
sneak;sneaked,snuck;sneaked,snuck
sow;sowed;sown,sowed
speak;spoke;spoken
speed;sped,speeded;sped,speeded
spell;spelled,spelt;spelled,spelt
spend;spent;spent
spill;spilled,spilt;spilled,spilt
spin;spun;spun
spit;spit,spat;spit,spat
split;split;split
spoil;spoiled,spoilt;spoiled,spoilt
spread;spread;spread
spring;sprang,sprung;sprung
stand;stood;stood
stave;staved,stove;staved,stove
steal;stole;stolen
stick;stuck;stuck
sting;stung;stung
