the;a
be;v
and;c
of;i
a;a
in;i
to;t
have;v
to;i
it;p
I;p
that;c
for;i
you;p
he;p
with;i
on;i
do;v
say;v
this;d
they;p
at;i
but;c
we;p
his;a
from;i
that;d
not;x
n't;x
by;i
she;p
or;c
as;c
what;d
go;v
their;a
can;v
who;p
get;v
if;c
would;v
her;a
all;d
my;a
make;v
about;i
know;v
will;v
as;i
up;r
one;m
time;n
there;e
year;n
so;r
think;v
when;c
which;d
them;p
some;d
me;p
people;n
take;v
out;r
into;i
just;r
see;v
him;p
your;a
come;v
could;v
now;r
than;c
like;i
other;j
how;r
then;r
its;a
our;a
two;m
more;r
these;d
want;v
way;n
look;v
first;m
also;r
new;j
because;c
day;n
more;d
use;v
no;a
man;n
find;v
here;r
thing;n
give;v
many;d
well;r
only;r
those;d
tell;v
one;p
very;r
her;p
even;r
back;r
any;d
good;j
woman;n
through;i
us;p
life;n
child;n
there;r
work;v
down;r
may;v
after;i
should;v
call;v
world;n
over;i
school;n
still;r
try;v
in;r
as;r
last;m
ask;v
need;v
too;r
feel;v
three;m
when;r
state;n
never;r
become;v
between;i
high;j
really;r
something;p
most;r
another;d
much;d
family;n
own;d
out;i
leave;v
put;v
old;j
while;c
mean;v
on;r
keep;v
student;n
why;r
let;v
great;j
same;d
big;j
group;n
begin;v
seem;v
country;n
help;v
talk;v
where;c
turn;v
problem;n
every;a
start;v
hand;n
might;v
American;j
show;v
part;n
about;r
against;i
place;n
over;r
such;d
again;r
few;d
case;n
most;d
week;n
company;n
where;r
system;n
each;d
right;r
program;n
hear;v
so;c
question;n
during;i
work;n
play;v
government;n
run;v
small;j
number;n
off;r
always;r
move;v
like;v
night;n
live;v
Mr;n
point;n
believe;v
hold;v
today;r
bring;v
happen;v
next;m
without;i
before;i
large;j
all;r
million;m
must;v
home;n
under;i
water;n
room;n
write;v
mother;n
area;n
national;j
money;n
story;n
young;j
fact;n
month;n
different;j
lot;n
right;n
study;n
book;n
eye;n
job;n
word;n
though;c
business;n
issue;n
side;n
kind;n
four;m
head;n
far;r
black;j
long;j
both;d
little;j
house;n
yes;u
after;c
since;c
long;r
provide;v
service;n
around;i
friend;n
important;j
father;n
sit;v
away;r
until;c
power;n
hour;n
game;n
often;r
yet;r
line;n
political;j
end;n
among;i
ever;r
stand;v
bad;j
lose;v
however;r
member;n
pay;v
law;n
meet;v
car;n
city;n
almost;r
include;v
continue;v
set;v
later;r
community;n
much;r
name;n
five;m
once;r
white;j
least;r
president;n
learn;v
real;j
change;v
team;n
minute;n
best;j
several;d
idea;n
kid;n
body;n
information;n
nothing;p
ago;r
right;j
lead;v
social;j
understand;v
whether;c
back;n
watch;v
together;r
follow;v
around;r
parent;n
only;j
stop;v
face;n
anything;p
create;v
public;j
already;r
speak;v
others;n
read;v
level;n
allow;v
add;v
office;n
spend;v
door;n
health;n
person;n
art;n
sure;j
such;i
war;n
history;n
party;n
within;i
grow;v
result;n
open;v
change;n
morning;n
walk;v
reason;n
low;j
win;v
research;n
girl;n
guy;n
early;j
food;n
before;c
moment;n
himself;p
air;n
teacher;n
force;n
offer;v
enough;r
both;r
education;n
across;i
although;c
remember;v
foot;n
second;m
boy;n
maybe;r
toward;i
able;j
age;n
off;i
policy;n
everything;p
love;v
process;n
music;n
including;i
consider;v
appear;v
actually;r
buy;v
probably;r
human;j
wait;v
serve;v
market;n
die;v
send;v
expect;v
home;r
sense;n
build;v
stay;v
fall;v
oh;u
nation;n
plan;n
cut;v
college;n
interest;n
death;n
course;r
someone;p
experience;n
behind;i
reach;v
local;j
kill;v
six;m
remain;v
effect;n
use;n
yeah;u
suggest;v
class;n
control;n
raise;v
care;n
perhaps;r
little;r
late;j
hard;j
field;n
else;r
pass;v
former;d
sell;v
major;j
sometimes;r
require;v
along;i
development;n
themselves;p
report;v
role;n
better;j
economic;j
effort;n
up;i
decide;v
rate;n
strong;j
possible;j
heart;n
drug;n
show;n
leader;n
light;n
voice;n
wife;n
whole;j
police;n
mind;n
finally;r
pull;v
return;v
free;j
military;j
price;n
report;n
less;r
according;i
decision;n
explain;v
son;n
hope;v
even;c
develop;v
view;n
relationship;n
carry;v
town;n
road;n
drive;v
arm;n
true;j
federal;j
break;v
better;r
difference;n
thank;v
receive;v
value;n
international;j
building;n
action;n
full;j
model;n
join;v
season;n
society;n
because;i
tax;n
director;n
early;r
position;n
player;n
agree;v
especially;r
record;n
pick;v
wear;v
paper;n
special;j
space;n
ground;n
form;n
support;v
event;n
official;n
whose;d
matter;n
everyone;p
center;n
couple;n
site;n
end;v
project;n
hit;v
base;v
activity;n
star;n
table;n
need;n
court;n
produce;v
eat;v
American;n
teach;v
oil;n
half;d
situation;n
easy;j
cost;n
industry;n
figure;n
face;v
street;n
image;n
itself;p
phone;n
either;r
data;n
cover;v
quite;r
picture;n
clear;j
practice;n
piece;n
land;n
recent;j
describe;v
product;n
doctor;n
wall;n
patient;n
worker;n
news;n
test;n
movie;n
certain;j
north;n
love;n
personal;j
open;j
support;n
simply;r
third;m
technology;n
catch;v
step;n
baby;n
computer;n
type;n
attention;n
draw;v
film;n
Republican;n
tree;n
source;n
red;j
nearly;r
organization;n
choose;v
cause;v
hair;n
look;n
point;v
century;n
evidence;n
window;n
difficult;j
listen;v
soon;r
culture;n
billion;m
chance;n
brother;n
energy;n
period;n
course;n
summer;n
less;d
realize;v
hundred;m
available;j
plant;n
likely;j
opportunity;n
term;n
short;j
letter;n
condition;n
choice;n
place;v
single;j
rule;n
daughter;n
administration;n
south;n
husband;n
Congress;n
floor;n
campaign;n
material;n
population;n
well;i
call;n
economy;n
medical;j
hospital;n
church;n
close;v
thousand;m
risk;n
current;j
fire;n
future;n
wrong;j
involve;v
defense;n
anyone;p
increase;v
security;n
bank;n
myself;p
certainly;r
west;n
sport;n
board;n
seek;v
per;i
subject;n
officer;n
private;j
rest;n
behavior;n
deal;v
performance;n
fight;v
throw;v
top;n
quickly;r
past;j
goal;n
second;n
bed;n
order;n
author;n
fill;v
represent;v
focus;v
foreign;j
drop;v
plan;v
blood;n
upon;i
agency;n
push;v
nature;n
color;n
no;r
recently;r
store;n
reduce;v
sound;n
note;v
fine;j
before;r
near;i
movement;n
page;n
enter;v
share;v
than;i
common;j
poor;j
other;p
natural;j
race;n
concern;n
series;n
significant;j
similar;j
hot;j
language;n
each;p
usually;r
response;n
dead;j
rise;v
animal;n
factor;n
decade;n
article;n
shoot;v
east;n
save;v
seven;m
artist;n
away;i
scene;n
stock;n
career;n
despite;i
central;j
eight;m
thus;r
treatment;n
beyond;i
happy;j
exactly;r
protect;v
approach;n
lie;v
size;n
dog;n
fund;n
serious;j
occur;v
media;n
ready;j
sign;n
thought;n
list;n
individual;n
simple;j
quality;n
pressure;n
accept;v
answer;n
hard;r
resource;n
identify;v
left;j
meeting;n
determine;v
prepare;v
disease;n
whatever;d
success;n
argue;v
cup;n
particularly;r
amount;n
ability;n
staff;n
recognize;v
indicate;v
character;n
growth;n
loss;n
degree;n
wonder;v
attack;n
herself;p
region;n
television;n
box;n
TV;n
training;n
pretty;r
trade;n
deal;n
election;n
everybody;p
physical;j
lay;v
general;j
feeling;n
standard;n
bill;n
message;n
fail;v
outside;i
arrive;v
analysis;n
benefit;n
name;v
sex;n
forward;r
lawyer;n
present;v
section;n
environmental;j
glass;n
answer;v
skill;n
sister;n
PM;r
professor;n
operation;n
financial;j
crime;n
stage;n
ok;r
compare;v
authority;n
miss;v
design;n
sort;n
one;n
act;v
ten;m
knowledge;n
gun;n
station;n
blue;j
state;v
strategy;n
little;d
clearly;r
discuss;v
indeed;r
force;v
truth;n
song;n
example;n
democratic;j
check;v
environment;n
leg;n
dark;j
public;n
various;j
rather;r
laugh;v
